a.m.	[ˌeɪ ˈem] abbr. 上午，午前; 
in	[ɪn] prep. 采用（某种方式） adv. 在家 adj. 在内的，朝内的 n. 执政党，掌权者 
inch	[ɪntʃ] n. 英寸（相当于 2。54 厘米，一英尺有12英寸） vt. 使缓慢地移动 vi. 缓慢移动 
incident	[ ˈɪnsɪdənt, ˈɪnsɪdənt] n. 事件，事变;小插曲 adj. [法]附带的;[光]入射的 
incline	[ɪnˈklaɪn] vt.&vi. （使）倾斜，弄斜;（使）偏向，倾向于 n. 倾斜;斜面 
include	[ɪnˈklu:d, ɪnˈklud] vt. 包括 
income	[ˈɪnˌkʌm, ˈɪnkʌm] n. 收入，进款 
increase	[ɪnˈkri:s, ɪnˈkris] vt.&vi. 增加，增大，增多 vt. 增强，增进 vi. 增强 
incredible	[ɪnˈkredəbl, ɪnˈkrɛdəbəl] adj. 难以置信的 
indeed	[ɪnˈdid, ɪnˈdi:d] adv. 甚至 
independence	[ˌɪndɪˈpendəns, ˌɪndɪˈpɛndəns] n. 独立，自主 
independent	[ˌɪndɪˈpɛndənt, ˌɪndɪˈpendənt] adj. 自主的;不相关连的 n. 独立自主的人;无党派人士 
India	['ɪndɪə, ˈɪndɪə] n. 印度（亚洲） 
Indian	[ˈɪndiən] adj. 印度的;印第安人的 n. 印第安人;印度人 
indicate	[ˈɪndɪˌket, ˈɪndɪkeɪt] vt. 表明，标示，指示 
indication	[ˌɪndɪˈkeɪʃn, ˌɪndɪˈkeʃən] n. 指示 
individual	[ˌɪndɪˈvɪdʒuəl, ˌɪndəˈvɪdʒuəl] adj. 个人的;个别的 n. 个人;个体 
indoor	[ˈɪnˌdɔr, -ˌdor, ˈɪndɔ:(r)] adj. 室内的，户内的 
indoors	[ˌɪnˈdɔ:z, ˌɪnˈdɔ:rz] adv. 在屋里 
industrial	[ɪnˈdʌstriəl] adj. 工业的，产业的;从事工业的 n. 工业股票;工业工人 
industry	[ˈɪndəstri] n. 工业 
inevitable	[ɪnˈɛvɪtəbəl, ɪnˈevɪtəbl] adj. 不可避免的 
infant	[ˈɪnfənt, 'ɪnfənt] n. 婴儿，幼儿;未成年人 adj. 婴儿的，幼儿的;幼稚的，幼小的 
infinite	[ˈɪnfɪnət, ˈɪnfənɪt] adj. 无限的，无穷的;无数的，许许多多的 n. 无限，无穷;[数] 无穷大 
inflation	[ɪnˈfleʃən, ɪnˈfleɪʃn] n. 通货膨胀 
influence	[ˈɪnfluəns,  ˈɪnfluəns] n. 影响;势力 vt. 影响;感染 
inform	[ɪnˈfɔ:rm, ɪnˈfɔ:m] vt. 通知;使活跃，使充满 vi. 通知;告发 
information	[ˌɪnfəˈmeɪʃn, ˌɪnfərˈmeɪʃn] n. 消息 
infra-red	['ɪnfrər'ed] adj. 红外线的 
inhabitant	[ɪnˈhæbɪtənt] n. 居民，住户 
inherent	[ɪnˈhɪərənt, ɪnˈhɪrənt] adj. 天生 
initial	[ɪˈnɪʃl, ɪˈnɪʃəl] adj. 最初的 n. 首字母 vt. 用姓名的首字母签名 
injure	[ˈɪndʒə(r), ˈɪndʒɚ] vt. 损害，毁坏 
injury	[ˈɪndʒəri] n. 伤害，损害 
ink	[ɪŋk] n. 墨水，油墨;（乌贼分泌的）墨液 vt. 给…上油墨（以供印刷、签订合同等）;签名（在…上） 
inn	[ɪn] n. 小旅馆，客栈;小饭店，小酒馆 vi. 住旅馆 
inner	[ˈɪnə(r), ˈɪnɚ] adj. 内部的，内心的;精神的 n. 内部，里面;射中接近靶心部分的一发 
innocent	[ˈɪnəsnt, ˈɪnəsənt] adj. 清白的;天真无邪的 n. 无辜者;头脑简单的人 
inquire	[ɪn'kwaɪə(r), ɪnˈkwaɪr] vt.&vi. 打听，询问 
insect	[ˈɪnsekt, ˈɪnˌsɛkt] n. 虫，昆虫;卑鄙的人 adj. 昆虫的;卑劣的 
inside	[ˌɪnˈsaɪd, ɪnˈsaɪd, ˈɪnˌsaɪd] adj. 里面的，内部的 n. 里面，内侧 adv. 在内地，在内部地 prep. 在…以内 
insight	[ˈɪnˌsaɪt, ˈɪnsaɪt] n. 顿悟 
insist	[ɪnˈsɪst] vt.&vi. 坚持 
inspect	[ɪnˈspɛkt, ɪnˈspekt] vt. 视察;检查，检验 vi. 进行检查;进行视察 
inspire	[ɪnˈspaɪə(r), ɪnˈspaɪr] vt. 激励;鼓舞 vi. 吸，吸入 
instance	[ˈɪnstəns] n. 情况;例子，实例 vt. 举…为例 
instant	[ˈɪnstənt] n. 瞬间，顷刻;此刻 adj. 立即的;迫切的 
instead	[ɪnˈstɛd, ɪnˈsted] adv. 反而 
instinct	[ˈɪnˌstɪŋkt, ˈɪnstɪŋkt] n. 本能，天性;冲动 adj. 深深地充满着 
institute	[ˈɪnstɪtju:t, ˈɪnstɪtu:t] vt. 建立;制定 n. 学院;协会 
institution	[ˌɪnstɪˈtju:ʃn, ˌɪnstɪˈtu:ʃn] n. （大学、银行等规模大的）机构 
instruct	[ɪnˈstrʌkt] vt. 通知 
instruction	[ɪnˈstrʌkʃn, ɪnˈstrʌkʃən] n. 授课 
instructor	[ɪnˈstrʌktɚ, ɪnˈstrʌktə(r)] n. 指导者，教师 
instrument	[ˈɪnstrəmənt] n. 仪器;乐器 vt. 用仪器装备;为演奏谱曲 
insurance	[ɪnˈʃʊərəns, ɪnˈʃʊrəns] n. 保险费;保险，保险业 adj. [体]巩固球队领先局面，使对手不能因增加一分而成平局的 
intelligence	[ɪnˈtɛlədʒəns, ɪnˈtelɪdʒəns] n. 情报 
intend	[ɪnˈtend, ɪnˈtɛnd] vt. 意欲，计划;为特殊目的而设计 vi. 怀有某种意图或目的 
intention	[ɪnˈtenʃn, ɪnˈtɛnʃən] n. 意向 
interest	[ˈɪntrəst, ˈɪntrɪst, -tərɪst, -ˌtrɛst] n. 利息;兴趣，爱好 vt. 使产生兴趣;使参与，使加入 
interested	[ˈɪntrəstɪd, ˈɪntrɪstɪd, -tərɪstɪd, -təˌrɛstɪd] adj. 感兴趣的;拥有权益的 v. 使…感兴趣(interest的过去分词) 
interesting	[ˈɪntrɪstɪŋ, ˈɪntrəstɪŋ] adj. 有趣的 
interfere	[ˌɪntəˈfɪə(r), ˌɪntərˈfɪr] vi. 干预，干涉 
interior	[ɪnˈtɪəriə(r), ɪnˈtɪriə(r)] n. 内部;内政 adj. 内部的;内地的，国内的 
international	[ˌɪntərˈnæʃnəl, ˌɪntəˈnæʃnəl] adj. 国际的;两国（或以上）国家的 n. 国际组织;国际体育比赛 
Internet	[ˈɪntərnet, ˈɪntənet] n. 国际互联网，因特网 
interpreter	[ɪnˈtɜ:rprɪtə(r), ɪnˈtɜ:prɪtə(r)] n. 解释者 
interrupt	[ˌɪntəˈrʌpt] vt.&vi. 打断（别人的话等） vt. 中断 vi. 打断 n. 中断 
interval	[ˈɪntəvl, ˈɪntərvl] n. 间隔 
interview	[ˈɪntəvju:, ˈɪntərvju:] n. 采访 vt.&vi. 面试 vt. 采访 
intimate	[ˈɪntɪmət, ˈɪntəmɪt] adj. 亲密的，亲近的 n. 至交 v. 暗示，提示 
into	[ˈɪntə, ˈɪntu] prep. （表示方向）进入…中 
introduce	[ˌɪntrəˈdju:s, ˌɪntrəˈdu:s] vt. 介绍 
invade	[ɪnˈveɪd, ɪnˈved] vt.&vi. 侵入，侵略;进行侵略 vt. 侵犯;侵袭 
invasion	[ɪnˈveʒən, ɪnˈveɪʒn] n. 侵袭 
invent	[ɪnˈvent, ɪnˈvɛnt] vt. 虚构 
invention	[ɪnˈvɛnʃən, ɪnˈvenʃn] n. 发明 
invest	[ɪnˈvest, ɪnˈvɛst] vt.&vi. 投资;花费 vt. 授予，使就职;给…穿衣，装饰 
investigate	[ɪnˈvestɪgeɪt, ɪnˈvɛstɪˌɡet] vt. 调查;研究 vi. 作调查 
investment	[ɪnˈvɛstmənt, ɪnˈvestmənt] n. 投资，投资额 
invitation	[ˌɪnvɪˈteɪʃn, ˌɪnvɪˈteʃən] n. 招待，邀请 
invite	[ɪnˈvaɪt] vt. 邀请;招致 n. 邀请 
involve	[ɪnˈvɒlv, ɪnˈvɑ:lv] vt. 包含 
iron	[ˈaɪən, ˈaɪərn] n. 铁器，铁制品 adj. 铁制的，含铁的 vt. 熨烫 vi. 熨衣 
irregular	[ɪˈregjələ(r), ɪˈrɛɡjəlɚ] adj. 不规则的，不对称的;无规律的 n. 非正规军军人;不规则物 
is	[ɪz] vt.&vi. 是（be的三单形式 n. 存在 
island	[ˈaɪlənd] n. 岛，岛屿 vt. 使孤立 
isolate	[ˈaɪsəleɪt, ˈaɪsəˌlet] vt. 使隔离，使孤立 vi. 隔离，孤立 n. [微]分离菌 adj. 孤立的 
issue	[ˈɪʃu:, ˈɪʃu] n. 问题 vt. 发行 vi. 发行 
it	[ɪt] pron. 它;他 n. <美俚>傻瓜，笨蛋;<俚>绝妙的人 
Italian	[ɪ'tælɪən, ɪˈtæljən] n. 意大利语;意大利人 adj. 意大利的;意大利语的 
Italy	['ɪtəlɪ] n. 意大利（欧洲） 
item	[ˈaɪtəm] n. 项目;条，条款 adv. 又，同上 
its	[ɪts] pron. (it的所有格形式)它的 
itself	[ɪtˈself, ɪtˈsɛlf] pron. (it的反身形式) 
jacket	[ˈdʒækɪt] n. 短上衣，夹克;土豆皮 vt. 给…穿夹克;给…装护套 
jail	[dʒel, dʒeɪl] n. 监狱;拘留所 vt. 监禁;拘留 
jam	[dʒæm] n. 果酱 vt. 把…挤进 vi. 堵塞 
January	[ˈdʒænjueri, ˈdʒænjuəri] n. 一月 
Japan	[dʒə'pæn, dʒəˈpæn] n. 日本 
Japanese	[ˌdʒæpə'ni:z, ˌdʒæpəˈniz, -ˈnis] n. 日语;日本人，日本国民 adj. 日语的;日本的，日本人的 
jar	[dʒɑr, dʒɑ:(r)] n. 罐子 vi. 发出刺耳的声音 vt. 使震动 
jaw	[dʒɔ:, dʒɔ] n. 下巴;颌 vi. 闲谈;唠唠叨叨，喋喋不休 
jealous	[ˈdʒɛləs, ˈdʒeləs] adj. 妒忌的 
jet	[dʒɛt, dʒet] n. 喷气式飞机 vi. 乘喷气式飞机 adj. 黑玉制的或黑玉似的 vt. 喷射，喷出 
jewel	[ˈdʒu:əl, ˈdʒuəl] n. 宝石，宝石饰物 
jewelry	['dʒu:əlrɪ, ˈdʒuəlri] n. <美>珠宝，首饰 
job	[dʒɒb, dʒɑ:b] n. 职业 vt. 承包 vi. 做零工 
join	[dʒɔɪn] vt.&vi. 加入 vt. 参与 n. 连接 
joint	[dʒɔɪnt] adj. 共同的，联合的 n. [解]关节 vt. 结合，联合 
joke	[dʒoʊk, dʒəʊk] n. 笑话，玩笑;笑柄，笑料 vt.&vi. 开玩笑;戏弄 
journal	[ˈdʒɜ:rnl, ˈdʒɜ:nl] n. 日报，日志，日记 
journalist	[ˈdʒɜ:nəlɪst, ˈdʒɜ:rnəlɪst] n. 新闻工作者，新闻记者 
journey	[ˈdʒɜ:rni, ˈdʒɜ:ni] n. 旅行，旅程行期 vi. 旅行，出游 vt. 在…旅行或旅行到过… 
joy	[dʒɔɪ] n. 喜悦，快乐，高兴 vi. 因…而高兴 vt. 高兴，使快乐 
judge	[dʒʌdʒ] vt.&vi. 审判，评判 vt. 评价 n. 法官 
judgment	['dʒʌdʒmənt, ˈdʒʌdʒmənt] n. 判断，鉴定 
juice	[dʒu:s, dʒus] n. 果汁 
July	[dʒuˈlaɪ, dʒʊˈlaɪ] n. 七月 
jump	[dʒʌmp] vt. 跳 vi. 跳跃 n. 猛长，暴涨 
junction	[ˈdʒʌŋkʃn, ˈdʒʌŋkʃən] n. 连接，接合 
June	[dʒu:n] n. 六月 
junior	[ˈdʒu:niə(r), ˈdʒunjɚ] adj. 较年幼的，较年小的;三年级的，低年级的 n. 年少者，青少年;晚辈 
just	[dʒʌst] adv. 正好;刚才 adj. 公正的，合理的;恰当的 
justice	[ˈdʒʌstɪs] n. 正义 
justify	[ˈdʒʌstɪfaɪ, ˈdʒʌstəˌfaɪ] vt. 证明…有理;为…辩护 vi. 整理版面;证明合法 
keen	[ki:n, kin] adj. 锐利的 vi. （为死者）恸哭，哀号 n. 〈英〉号哭，恸哭 
keep	[ki:p, kip] vt. 保持 vi. （食品）保持新 n. 保持，保养 
kettle	[ˈketl, ˈkɛtl] n. （烧水用的）壶 
key	[ki:, ki] n. 钥匙 vt. 键入 vi. 使用钥匙 adj. 关键的 
keyboard	[ˈki:bɔ:rd, ˈki:bɔ:d] n. 键盘 vt. 用键盘输入 vi. 用键盘进行操作 
kick	[kɪk] vt.&vi. 踢 n. （毒品或酒精的）效力 vi. 踢蹬，踢（腿） vt. （因干了蠢事、失去良机等）对（自己）生气 
kid	[kɪd] n. <口>小孩 vt.&vi. 欺骗，戏弄，取笑 adj. 较年幼的 
kill	[kɪl] vt.&vi. 杀死… vt. 使停止[结束，失败] n. 杀死 adj. 致命的 
kilo	[ˈki:loʊ, ˈki:ləʊ] n. 千克 
kilogramme	['kɪləʊgræm, 'kɪləˌgræm] n. 公斤 
kilometer	[kɪˈlɑmɪtɚ, ˈkɪləˌmitɚ, 'kɪləˌmi:tə] n. <美>千米，公里 
kind	[kaɪnd] n. 〈古〉方式，方法;本质，天性 adj. 仁慈的，体贴的;友善的，好心的 
kindergarten	[ˈkɪndəgɑ:tn, ˈkɪndərgɑ:rtn] n. 幼儿园，学前班 
kindness	[ˈkaɪndnəs, ˈkaɪndnɪs] n. 仁慈，善行 
king	[kɪŋ] n. 国王 vt. 立…为王 adj. 巨型的 
kingdom	[ˈkɪŋdəm] n. 王国 
kiss	[kɪs] vt. 接吻 vi. 接吻 n. 吻 
kitchen	[ˈkɪtʃɪn, ˈkɪtʃən] n. 厨房 
kite	[kaɪt] n. 风筝 vt. 涂改（支票） vi. 使用空头支票 
knee	[ni:, ni] n. 膝;膝盖 vt. 用膝盖碰 
kneel	[nil, ni:l] vi. 跪，下跪 
knife	[naɪf] n. 刀 vt. 切割，刺 vi. 劈开 
knock	[nɒk, nɑ:k] n. 短促的敲打（声） vi. 猛烈敲击 vt. （心）怦怦跳 
know	[noʊ, nəʊ] v. 知道;了解 n. 知情 
knowledge	[ˈnɑ:lɪdʒ, ˈnɒlɪdʒ] n. 了解，理解 
lab	[læb] n. 实验室，研究室 
label	[ˈleɪbl] n. 标签;称标记，符号 vt. 贴标签于;把…称为 
labor	['leɪbə(r), ˈlebɚ] n. 劳动 v. 努力争取(for) adj. 劳工的，工会的 vi. （指引擎）缓慢而困难地运转 
laboratory	[ləˈbɒrətri, ˈlæbrətɔ:ri] n. 实验室 
lace	[leɪs, les] n. 蕾丝 vt. 给（书、讲话等）润色 vi. 以系带系紧 
lack	[læk] vt. 缺乏，缺少;需要的东西 n. 缺乏，不足，没有;缺少的东西 
lad	[læd] n. 少年，小伙子 
ladder	[ˈlædɚ, ˈlædə(r)] n. 梯子，阶梯;梯状物 vi. 使（袜子）发生抽丝现象;像长筒袜一样抽丝 
lady	[ˈleɪdi, ˈledi] n. （指成年女子，有些人尤其是长者认为这样说比较礼貌）女士 
lake	[leɪk, lek] n. 湖;深红色颜料 vt.&vi. 血球溶解;使（血液）发生血球溶解 
lamb	[læm] n. 羔羊肉;羔羊，小羊 vi. 生小羊，产羊羔 
lamp	[læmp] n. 灯 
land	[lænd] n. 土地 vt.&vi. （使）登岸 vt. 自船上卸下 vi. 跳落，跌落，被抛落（地面） 
landing	[ˈlændɪŋ] n. 登陆，着陆;终点 v. （使）登陆(land的现在分词) 
landlady	[ˈlændleɪdi, ˈlændˌledi] n. 女房东 
landlord	[ˈlændlɔ:d, ˈlændlɔ:rd] n. 店主 
lane	[len, leɪn] n. 车道 
language	[ˈlæŋgwɪdʒ, ˈlæŋɡwɪdʒ] n. 语言，语言文字 
large	[lɑ:rdʒ, lɑ:dʒ] adv. 大大地 adj. 大的 v. 玩个痛快 
laser	[ˈlezɚ, ˈleɪzə(r)] n. 激光 
last	[lɑ:st, læst] n. 最后 vt. 经受住 adj. 最后的 vi. 持续 adv. 最后 
late	[leɪt, let] adj. 已故的;晚的，迟到的 adv. 晚，迟;后期地 
lately	[ˈletli, ˈleɪtli] adv. 近来，最近 
later	[ˈleɪtə(r), ˈletɚ] adv. 后来;随后 adj. 以后的;后来的 
Latin	[ˈlætɪn, ˈlætn] n. 拉丁文;拉丁语，拉丁文学 adj. 拉丁美洲的;拉丁的，拉丁语的 
latter	[ˈlætə(r), ˈlætɚ] adj. 后者的 
laugh	[lɑ:f, læf] vi. 笑 vt. 以笑表示，以笑感动[影响] n. 笑 
launch	[lɔ:ntʃ, lɔntʃ, lɑntʃ] vt. 发射 vi. 投入 n. 投掷 
laundry	[ˈlɔ:ndri, ˈlɔndri, ˈlɑn-] n. 洗衣店，洗衣房 
lavatory	[ˈlævətri, ˈlævətɔ:ri] n. 厕所 
law	[lɔ, lɔ:] n. 法 vt.&vi. [口语、方言]诉诸法律，对…起诉，控告 vt. 控告 
lawyer	[ˈlɔ:jə(r), ˈlɔjɚ] n. 律师，法学家 
lay	[leɪ, le] vt. 放置 adj. 世俗的 n. 叙事诗 
layer	[ˈler, ˈleɪə(r)] n. 层，层次 vt. 把…分层堆放 vi. 形成或分成层次 
lazy	[ˈlezi, ˈleɪzi] adj. 懒惰的 
lead	[li:d] vt. 领导 vi. 导致 n. 铅 adj. 领头的 
leader	[ˈli:də(r), ˈlidɚ] n. 领袖，领导者 
leaf	[lif, li:f] n. 叶子 vt.&vi. 翻书（报） vi. 生叶 
league	[li:g, liɡ] n. 联盟;社团 vt.&vi. 使…结盟，使…结合 
lean	[lin, li:n] vt.&vi. （使）倾斜，屈身 vt. 倚 adj. 瘦的 n. 瘦肉 vi. 倾向于（某种观点、意见或态度等）（与to 或 toward连用） 
leap	[li:p, lip] vi. 跳 vt. 跳过，跃过 n. 跳跃，飞跃 
learn	[lɜ:n, lɜ:rn] vt.&vi. 得知 vt. 学习 vi. 学习 
least	[li:st, list] adj. 最小的 adv. 最少，最小 n. 最小 
leather	[ˈleðə(r), ˈlɛðɚ] n. 皮革制品 vt. 用皮革包盖 adj. 皮的，皮革的，皮革制的 
leave	[liv, li:v] vt. 离开 vt.&vi. 离去 n. 准假 
lecture	[ˈlektʃə(r), ˈlɛktʃɚ] n. 演讲 vi. 作演讲 vt. 给…作演讲 
left	[lɛft, left] adj. 左边的，左侧的 n. 左，左面 adv. 向左 v. 离开( leave的过去式和过去分词) 
leg	[leg, lɛɡ] n. 腿;支柱，支架 vi. <口>走，跑 
legal	[ˈliɡəl, ˈli:gl] adj. 法律的;合法的 n. 法定权利;依法必须登报的声明 
leisure	[ˈleʒə(r), ˈli:ʒər] n. 闲暇;悠闲 adj. 闲暇的;空闲的 
lemon	[ˈlemən, ˈlɛmən] n. 柠檬;柠檬黄 adj. 柠檬色的 
lend	[lɛnd, lend] vt. 把…借给;贷（款） vi. 增加;增添 
length	[leŋθ] n. 长度，长 
less	[lɛs, les] adj. 较小的 adv. 较少地，较小地 prep. 减去 n. 较少，较小 
lesson	[ˈlesn, ˈlɛsən] n. 功课;教训，训诫 vt. 教训，训斥;教课 
lest	[lest, lɛst] conj. 以免 
let	[lɛt, let]  允许，任由 
letter	[ˈletə(r), ˈlɛtɚ] n. 信 vt. 用字母标明 vi. 写印刷体字母 
level	[ˈlɛvəl, ˈlevl] n. 水平，水准 adj. 水平的 vt. 使同等 vi. 拉平 vi. 瞄准 
liberate	[ˈlɪbəˌret, ˈlɪbəreɪt] vt. 解放 
liberty	[ˈlɪbəti, ˈlɪbərti] n. 自由 
librarian	[laɪˈbreəriən, laɪ'brerɪrn] n. 图书管理员 
library	[ˈlaɪbreri, ˈlaɪbrəri] n. 藏书 
license	[ˈlaɪsəns, ˈlaɪsns] n. 许可证，执照;特许 vt. 同意;发许可证 
lid	[lɪd] n. 盖子;限制 vt. 给…盖盖子 
lie	[laɪ, lai] v. 躺;说谎 n. 谎言;谎话 
life	[laɪf] n. 生活，生计 
lifetime	[ˈlaɪftaɪm, ˈlaɪfˌtaɪm] n. 有生之年;一生，寿命 na. 终生;终身保障 
lift	[lɪft] vt.&vi. 举起，抬起 vt. 提升 vi. 消散 n. 电梯 
light	[laɪt] n. 光 adj. 轻的 v. 点燃 adv. 轻地，轻装地 
lighten	[ˈlaɪtn, ˈlaɪtn:] vt. 使（某物）更明亮 vi. 减轻;点亮 
lightly	[ˈlaɪtli] adv. 轻轻地，轻巧地 
lightning	[ˈlaɪtnɪŋ] adj. 闪电般的，快速的 n. 闪电，雷电 vi. 打闪 
like	[laɪk] vt. 喜欢 prep. （表示属性）像 adj. 相似的 n. 相类似的人[事物] conj. 如同 adv. 如 
likely	[ˈlaɪkli] adj. 可能的;适合的 adv. 可能;或许 
likewise	[ˈlaɪkwaɪz, ˈlaɪkˌwaɪz] adv. 同样地 
limb	[lɪm] n. 枝干;肢，翼 vt. 割断…的四肢，肢解;砍树枝 
limit	[ˈlɪmɪt] n. 限制;界限 vt. 限制，限定 
line	[laɪn] n. 线条 vt. 排队 vi. 形成一层 
linen	[ˈlɪnən, ˈlɪnɪn] n. 亚麻布，亚麻线;家庭日用织品 adj. 亚麻的，亚麻布制的 
liner	[ˈlaɪnɚ, ˈlaɪnə(r)] n. 衬里 
link	[lɪŋk] n. 环，节 vt. 连结 vi. 用环连接 
lion	[ˈlaɪən] n. 狮子 
lip	[lɪp] n. 嘴唇 adj. 唇的 vt. 用嘴唇接触 
liquid	[ˈlɪkwɪd] n. 液体;流音 adj. 液体的;清澈的 
list	[lɪst] n. 清单，目录 vt. 列出，列入 vi. 列于表上 
listen	[ˈlɪsən, ˈlɪsn] vi. 倾听;留心听 n. 听，倾听 
liter	['li:tə(r), ˈlitɚ] n. [计量] 公升（容量单位） 
literary	[ˈlɪtəreri, ˈlɪtərəri] adj. 文学（上）的 
literature	[ˈlɪtərəˌtʃʊr, -tʃɚ, ˈlɪtrətʃə(r)] n. 文学 
little	[ˈlɪtl] adj. 小的 adv. 不多，略微 n. （表示否定）微少 det. （数量上）微少的，少到几乎没有的 
live	[lɪv] vi. 居住;生存 vt. 经历;度过 
lively	[ˈlaɪvli] adj. 活泼的;充满活力的 adv. 轻快地：轻快地，富有活力地;轻快地跳起 
liver	[ˈlɪvɚ, ˈlɪvə(r)] n. 肝脏;（食用）肝 adj. 肝味的;深赤褐色的 
living-room	['lɪvɪŋ'ru:m] n. 客厅，起居室 
load	[ləʊd, loʊd] n. 负荷 vt. 使担负 vi. 加载 
loaf	[loʊf, ləʊf] n. 一条（块）面包 v. 游荡;游手好闲 
loan	[loʊn, ləʊn] n. 贷款 vt. 借，借给 vi. 借出 
lobby	[ˈlɒbi, ˈlɑ:bi] n. 休息室 vi. 为了支持或抵制某项特定目标游说 vt. 对…进行游说 
local	[ˈloʊkl, ˈləʊkl] adj. 局部的;地方的 n. 慢车;本地居民（律师、教士、医生） 
locate	[ləʊˈkeɪt, ˈloʊkeɪt] vt. 位于;说出来源 vi. 定位;定居 
location	[ləʊˈkeɪʃn, loʊˈkeɪʃn] n. 定位 
lock	[lɒk, lɑ:k] n. 锁 vt. 锁上 vi. 卡住，不动 
lodge	[lɒdʒ, lɑ:dʒ] vi. 存放 vt. 提出（报告、要求、申诉等） n. <古>小屋，草屋 
lodging	[ˈlɑ:dʒɪŋ, ˈlɒdʒɪŋ] n. 寄宿;出租的房间 v. 存放（ lodge的现在分词）;暂住 
log	[lɒg, lɔ:g] n. 日志;记录 v. 伐木;把…载入正式记录 
logical	[ˈlɑ:dʒɪkl, ˈlɒdʒɪkl] adj. 符合逻辑的 
lonely	[ˈləʊnli, ˈloʊnli] adj. 寂寞的 
long	[lɒŋ, lɔ:ŋ] adj. 长的 adv. 长久地 n. 长时间，长时期 vi. 渴望，极想 
look	[lʊk] vt.&vi. 看，瞧 vi. 寻找 n. 看 int. （插话或唤起注意）喂，听我说 
loose	[lu:s, lus] adj. 松的，宽的 vt. 松开 vi. 变得松散 adv. 散漫地 n. 解放 
lord	[lɔ:rd, lɔ:d] n. 主;上帝 vi. 逞威风 
lorry	[ˈlɔ:ri, ˈlɒri] n. 运货汽车，机动卡车 
lose	[luz, lu:z] vt. 失去;错过 vi. 损失;输掉 
loss	[lɒs, lɔ:s] n. 损失，减少 
lot	[lɑ:t, lɒt] n. 许多 adv. （与形容词和副词连用）很，非常 pron. 大量，许多 vt. 分组，把…划分（常与out连用） vi. 抽签，拈阄 
loud	[laʊd] adj. 响亮的，大声的，高声的;响亮的，洪亮的，高亢的 adv. 大声地，高声地，响亮地 
loudspeaker	[ˌlaʊdˈspi:kə(r), ˈlaʊdˌspikɚ] n. 喇叭 
love	[lʌv] vt.&vi. 喜欢 vt. 喜欢 n. 热爱 
lovely	[ˈlʌvli] adj. 可爱的;令人愉快的 n. 美女，美人，佳人;漂亮的东西 
lover	[ˈlʌvɚ, ˈlʌvə(r)] n. 情人 
low	[ləʊ, loʊ] adj. 低的，矮小的 adv. 低声地 n. 低点 vi. （牛）哞哞叫 
lower	[ˈləʊə(r), ˈloʊə(r)] adj. 下方的;在底部的 v. 降低;减少 
loyal	[ˈlɔɪəl] adj. 忠贞的;忠诚的，忠心的 n. 效忠的臣民;忠实信徒 
loyalty	[ˈlɔɪəlti] n. 忠心 
luck	[lʌk] n. 运气;好运 vi. 交好运，走运;侥幸成功 
lucky	[ˈlʌki] adj. 运气好的，侥幸的 
luggage	[ˈlʌɡɪdʒ, ˈlʌgɪdʒ] n. <英>行李 
lump	[lʌmp] n. 肿块 vi. 结成块 vt. 使成团，使成块 adj. 成团的，成块的 adv. 很，非常 
lunch	[lʌntʃ] n. 午餐 vt.&vi. 吃午餐;供给午餐 
luxury	[ˈlʌɡʒəri, ˈlʌkʃə-, ˈlʌkʃəri] n. 奢侈，豪华;奢侈品，美食，美衣 adj. 奢华的，豪华的 
machine	[məˈʃi:n, məˈʃin] n. 机器，机械 vt. 用机器制造，用机器加工 vi. 被机器切削 
machinery	[məˈʃi:nəri, məˈʃinəri, -ˈʃinri] n. （总称）机器 
mad	[mæd] adj. 疯狂的;猛烈的 vt. 使疯狂 
madam	[ˈmædəm] n. 女士 
magazine	[ˈmægəzi:n, ˌmægəˈzi:n] n. 杂志 
magic	[ˈmædʒɪk] n. 魔法 adj. 魔术的 v. 用魔法变出 
magnificent	[mægˈnɪfɪsnt, mæɡˈnɪfɪsənt] adj. 壮丽的 
maid	[meɪd, med] n. 少女 
mail	[meɪl, mel] n. 邮件，邮政 vt. 邮寄 vi. 投邮 
mailbox	[ˈmeɪlbɒks, ˈmeɪlbɑ:ks] n. 信箱 
main	[meɪn, men] adj. 主要的，最重要的;全力的 n. 最主要的部分，重点;主要管道 
mainland	[ˈmenˌlænd, -lənd, ˈmeɪnlænd] n. 大陆;本土 adj. 大陆的;本土的 
mainly	[ˈmenli, ˈmeɪnli] adv. 大部分地 
maintain	[meɪnˈteɪn, menˈten] vt. 保持 
major	[ˈmeɪdʒə(r), ˈmedʒɚ] adj. 主要的 n. 主修科目 vi. <美>主修，专攻 
majority	[məˈdʒɒrəti, məˈdʒɔ:rəti] n. 多数 
make	[meɪk, mek] vt. 做，制造 vi. 开始 n. 制造 
male	[meɪl, ˈmel] adj. 男性的;雄性的 n. 男;雄性动物 
man	[mæn] n. 男人 vt. 使振作 int. （表示惊讶、气愤等）嘿，天哪 
manage	[ˈmænɪdʒ] vt. 经营 vt.&vi. 办理，设法对付 vi. 能解决（问题） 
management	[ˈmænɪdʒmənt] n. 管理 
manager	[ˈmænɪdʒə(r), ˈmænɪdʒɚ] n. 处理者，经理，管理人 
manly	[ˈmænli] adj. 有男子气概的;适合男子的 adv. 以男人的方式 
manner	[ˈmænə(r), ˈmænɚ] n. 方式，方法，做法 
